a	un, uno, una[Article]
aggressions	agresio/nes[Noun]
aggressive	agresivo[Adjective]
agile	a/gil[Adjective]
aging	envejecimiento[Noun]
agitate	agitar; to become agitated agitarse
agitated	agitado[Adjective]
ago	hace; atra/s (2 wks ago) hace dos semanas or dos semanas atra/s[Adjective]
agoraphobia	agorafobia[Noun]
agree	acordar
agreement	el acuerdo
aid	la curita
aid	n -ayuda; auxilio; vt ayudar asistir
aide	asistente -mf; ayudante -mf; auxiliar -mf
aids	la SIDA[Noun]
ailment	mal -m; achaque -m; padecimiento[Noun]
air	el aire
aircraft	el avión[Noun]
airplanes	los aviones
airport	el aeropuerto
airsickness	mareo 
airway	(breathing) vi/a ae/rea[Noun]
alarm	alarma[Noun]
alarmed	alarmado[Adjective]
alarming	alarmante[Adjective]
alarmingly	alarmantemente[Adverb]
alcohol	alcohol[Noun]
alcoholic	alcoholico[Noun]
alcoholism	alcoholismo[Noun]
ale	cerveza
algebra	algebra[Noun]
algebraically	algebraicamente[Adverb]
algorithm	algoritmo[Noun]
alibi	coartada[Noun]
alien	extranjero[Noun]
all	todo
allow	dejar
allow	permitir
alloy	aleación[Noun]
alloys	aleaciónes[Noun]
allspice	malagueta[Noun]
almond	la almendra
almost	casi
alphabet	el alfabeto
alphabetic	english
already	ya
also	Tambien[Conjunction]
although	aunque
altitude	la altitud
alto	long
aluminum	el aluminio
always	siempre
am	2486
amalgamate	amalgamar[Verb]
amalgamated	amalgamado[Adjective]
amass	amontonar[Verb]
amassed	amontado[Adjective]
amateur	novicio[Noun]
amaze	asombrar[Verb]
amaze	maravillar[Verb]
amaze	pasmar[Verb]
amazed	asombrado[Adjective]
amazement	asombro[Noun]
amazement	pasmo[Noun]
amazing	asombroso
amazing	maravilloso[Adjective]
amazing	pasmoso[Adjective]
ambassador	embajador[Noun]
amber	ambre[Noun]
ambulance	la ambulancia
amen	ame/n
amenities	amenidades
American	americano
amiable	amistable
amicably	amistablemente
amid	entre
amuse	divertir
amusing	divertido
ancient	antiguo
and	y
angry	enojado
animal	el animal
animalcule	anima/lculo[Noun]
animate	animar, animarse[Verb]
animated	animado[Adjective]
animation	animacio/n[Noun]
anion	anio/n[Noun]
aniseed	an/is[Noun]
anisotropic	anisotropous[Adjective]
ankle	el tobillo
ankles	los tobillos[Noun]
annihilate	aniquilar, anonadar[Verb]
anniversaries	aniversarios
anniversary	aniversario
annotate	notar
annotated	notado
annotation	anotación
announce	anunciar[Verb]
announced	anunciado
announcement	anuncio, prospecto
announcements	anuncios, prospectos
announcer	anunciador
announcer	el locutor
announcers	anuciadors
announcing	estar anunciando
annoy	burlarse
annoy	enojar
annoys	se burla
annual	anual
answer	la respuesta
ant	hormiga
ant	la hormiga
antacid	antiacido
antagonism	antagonismo
antagonist	antagonista
antagonistic	antagonico
antagonize	enemistarse con;
antarctic	antartico
ante	apuesta(poker); ante...
anteater	oso hormiguero
antecedent	antecedente
antecedents	antecedentes
antechamber	antecamara; antesala
antedate	preceder; ser anterior a
antediluvian	antediluviano
antelope	antilope
antenatal	prenatal; antenatal
antenna	antena
antennae	antena
anterior	anterior a
anteroom	antesala; antecamara
anthem	motete(Eccl); himno nacional
anther	antera
anthill	hormiguero
anthologies	antologias
anthologist	antologista
anthologize	hacer una antologia de
anthology	antologia
anthracite	antracita
anthrop	antrop
anthropocentric	antropocentrico
anthropoid	antropoide
anthropological	antropologico
anthropologist	antropologo
anthropology	antropologia
anthropomorphic	antropomorfico
anthropomorphism	antropomorfismo
anthropophagous	antropofago
anthropophagy	antropofagia
apartment	apartamento[Noun]
apologize	disculparse
appetite	el apetito
appetizer	el aperitivo
applaud	aplaudir
applause	el aplauso
apple	apple
apple	la manzana
apple	manzana
apples	las manzanas
apples	manzanas
applesauce	pure de manzana
applicable	aplicable
applicant	applicante
applicant	solicitante
applicants	applicante
application	aplicacion
appointment	la cita
appointments	las citas
appreciate	apreciar
apricot	el chabacano
April	abril
apron	el delantal
aquarium	el acuarium
architect	el arquitecto
arena	corrida[Noun]
argue	arguir
argument	el argumento
arm	el brazo
arms	los brazos
around	alrededor
arrange	arreglar
arrive	llegar
arrow	la flecha
art	arte
artefact	artefacto
arterial	pertinente al transito[Adjective]
arterialization	arterializacion[Noun]
arterialize	arterializar[Verb]
arteries	las arterias[Noun]
arteriole	arteriola; pequena arteria[Noun]
arterioles	las arteriolas; las pequen~a arterias[Noun]
arteriosclerosis	arteriolosclerosis[Noun]
artful	diestro; habilidos; astuto; artificioso[Adjective]
artfully	astutamente; ladinamente; artificiosamente; con artificio; con arte; diestramente
arthritic	artrítico
arthropod	artropodo
artichoke	la alcachofa
article	artículo
artificial	artificial
ashtray	el cenicero
ask	preguntar
asleep	dormido
aspirin	la aspirina
asterisk	el asterisco
at	a
ate	comi[Verb]
athlete	el atleta
attainable	conseguilbe[Adjective]
attainableness	asequibilidad
attempt	intento
attend	asistir[Verb]
attendance	asistencia[Noun]
attendant	asistente
attendants	asistentes
attentive	atento[Adjective]
attentively	atentamente[Pronoun]
attire	atraer[Verb]
attired	atraido[Adjective]
attiring	atractivo[Adjective]
attitude	actitud[Noun]
attitudes	actitudes
August	agosto
author	el autor
auto	el auto[Noun]
autumn	oton~o[Noun]
avenue	la avenida
avoid	eludir[Verb]
avoid	evitar[Verb]
axe	la hacha
b	b
babble	balbucear
babble	balbucear[Verb]
babbled	balbuceado
babblement	balbuceo
babbler	balbuceador
babbles	balbucea
babbling	balbuceando
babe	bebe
babe	chica bonita[Verb]
babe	criatura, bebe
babe	nena
babes	bebés
babes	criaturas, bebes
babes	ninos[Noun]
babes	niños[Noun]
babied	mimado (a)[Adjective]
babies	bebe/s
babies	criaturas, bebes
baboon	babui/no
babushka	la babushka (sombrero ruso)[Noun]
baby	bebe/
baby	criatura
babyhood	niñez[Noun]
babyhood	ninez
babyhood	nin~ez
babying	ninando
babyish	infantil[Adjective]
babysit	cuidar
babysit	cuidar el chico; cuidar los chicos
babysit	hacer de canguro[Verb]
babysits	cuida a un bebe[Verb]
babysitter	canguro
babysitter	nin~era
babysitters	canguros
babysitters	nin~eras
babysitters	niñera
babysitting	cuidar nin~os[Verb]
baccalaureate	licenciatura
baccalaureate	bachillerato[Noun]
baccarat	bacarr/a
bacchanal	bacanal
bacchanal	jodienda
bacchanalia	bacanal
bacchanalian	bacanálico (a)[Adjective]
bacchic	BA/QUICO[Adjective]
bachelor	bachiller
bachelor	soltero
bachelorhood	solteria
bachelors	bachilleres
bachelors	solteros
bacillar	bacilar
bacillary	forma bacilar (de bacilo)
bacilli	bacilos
bacillus	bacilo
back	espalda (noun)
back	(hacia) atra/s
back	la espalda
back	lomo (noun)
backache	dolor de espalda
backaches	dolores de espalda
backbite	difamar[Verb]
backbiter	el difamador[Noun]
backbone	espinazo
backbone	lomo
backbones	espinazo
backbones	espinazos
backdrop	telon
backdrops	TELONES[Noun]
backed	RESPALDADO[Adjective]
backer	RESPALDADOR[Noun]
backers	RESPALDADORES[Noun]
backfire	petardeo
backgammon	chaquete
background	fondo
background	de fondo[Adjective]
backgrounds	antecedentes
backhand	reves
backhanded	ambiguo
backhouse	letrina
backing	APOYO[Noun]
backlash	barra invertida (\)
backlash	contragolpe
backless	SIN ESPALDA
backlog	lista de cosas pendientes
backlogs	ATRASOS[Noun]
backpack	bolso/n
backpack	mochila
backpacker	mochilero
backpacks	mochila
backrest	respaldo
backs	ESPALDAS[Noun]
backseat	asiento trasero
backside	espalda, lomo[Noun]
backslash	barra invertida (\)
backslide	reincidir[Verb]
backslider	reincidente[Noun]
backspace	tecla de retroceso
backspaced	retrocedido[Verb]
backspaces	retrocesos[Noun]
backspacing	retrocediendo[Verb]
backstage	bastidores[Noun]
backstairs	escalera de atras[Noun]
backstitch	pespunte[Noun]
backstitched	pespunteado[Adjective]
backstitches	pespuntes[Noun]
backstitching	pespuntear[Verb]
backtrack	retrotraer
backtracked	desandado[Verb]
backtracker	desandador[Noun]
backtracking	desandando[Verb]
backup	copia de seguridad
backup	respaldo
backups	backups, copia de seguridad[Noun]
backward	atrasado[Adjective]
backwardly	retrospectivamente[Adverb]
backwardness	atraso[Noun]
backwards	hacia atra/s
backwash	estela[Noun]
backwater	remanso[Noun]
backwaters	remansos[Noun]
backwood	bosque[Noun]
backwoods	bosque[Noun]
backwoodsman	bosqui/mano[Noun]
backyard	patio de atras[Noun]
bacon	el tocino
bacteria	bacteria[Noun]
bacterial	bacteriano[Adjective]
bacterially	bacterianamente[Adverb]
bactericidal	bactericida[Adjective]
bactericidally	bactericidamente[Adverb]
bactericide	bactericida[Adjective]
bacterium	bacteria[Noun]
bad	malo
badge	banda, cinta, emblema[Noun]
badger	tejo/n[Noun]
badgered	molestado[Verb]
badgering	molestando[Verb]
badgers	tejones[Noun]
badges	condecoraciones[Noun]
badly	malamente[Adverb]
badminton	badminton[Noun]
badness	maldad[Noun]
baffle	confundir[Verb]
baffled	confundido[Verb]
bafflement	confusio/n[Noun]
baffler	deflector[Noun]
bafflers	deflectores[Noun]
baffling	confundiendo[Verb]
bag	bolso
bagatelle	bagatela[Noun]
baggage	el equipaje[Noun]
baggily	holgadamente[Adverb]
baggy	holgado[Adjective]
bagpipe	la gaita[Noun]
bagpiper	gaitero (a)[Noun]
bagpipes	gaitas[Noun]
bags	bolsas[Noun]
bail	pelota, balo/n[Noun]
bailable	achicable[Adjective]
bailee	depositario[Noun]
bailer	fiador[Noun]
bait	cebo[Noun]
bake	hornear
baker	el panadero
bakery	panaderia[Noun]
balalaika	pues eso
balalaika	balalaika[Noun]
balance	balancear[Verb]
balanced	equilibrado (a)[Adjective]
balcony	balcon[Noun]
bald	calvo
bald	desgastado(a)[Adjective]
baldness	calvicie[Noun]
bale	el fardo[Noun]
baleful	funesto[Adjective]
ball	bola[Noun]
ball	la pelota
ballad	balada[Noun]
ballade	balada[Noun]
balladist	baladista[Adjective]
ballads	baladas[Noun]
ballast	lastre[Noun]
ballerina	bailarina[Noun]
ballerinas	bailarinas[Noun]
ballet	ballet[Noun]
ballista	ballesta[Noun]
ballistic	bali/stico (a)[Adjective]
ballistics	la bali/stica[Noun]
balloon	globo[Noun]
balloons	globos[Noun]
ballot	encuesta[Noun]
balls	bolas[Noun]
balmy	suave[Adjective]
balsam	balsamo[Noun]
balsamic	balsa/mico (a)[Adjective]
balustrade	barandilla[Noun]
balustrades	barandillas
bamboo	bambú
ban	prohibicion[Noun]
banal	banal[Adjective]
banana	platano
bananas	platano[Noun]
band	banda
bandage	la venda
bandit	bandido[Noun]
bandits	bandito
bandoleer	bandolero[Noun]
bank	banco
bank	el banco
banker	el banquero
bankrupt	bancarrota, quiebra economica[Noun]
banquet	banquete[Noun]
bar	barra[Noun]
barbarian	ba/rbaro[Adjective]
barbarians	b/arbaros[Adjective]
barbaric	barbario[Adjective]
barbarism	barbarismo[Adjective]
barbarities	barbaridades[Adjective]
barbarization	barbarizacio/n[Adjective]
barbarize	barbarizar[Verb]
barbecue	barbacoa[Noun]
barber	el barbero
barn	el troje
basket	la cesta
basketball	baloncesto[Noun]
baskets	las cestas
bat	murci"e/"lago[Noun]
bathroom	el bano[Noun]
be	be
be	ser[Verb]
beach	la playa
beachboy	chico de la playa[Noun]
beacon	atalaya[Noun]
bead	perla, cuenta[Noun]
beaker	vaso de precipitados[Noun]
beam	haz de luz[Noun]
beaming	radiante, brillante[Adjective]
beamy	radiante, brillante[Adjective]
bean	haba, jud\ia
beans	frijoles
bear	el oso
beard	la barba
beautiful	hermoso
beauty	la belleza
because	porque
bed	la cama
bedroom	el dormitorio
bedrooms	el dormitorios[Noun]
beds	las camas
bedspread	la colcha
bee	la abeja
beer	cerveza
beer	la cerveza
before	antes
begin	empezar
begin	empezar[Noun]
beginning	el principio
beige	beige
believe	creer
bell	la campana
bells	las campanas
below	bajo[Adjective]
benchmark	evaluación comparativa[Noun]
benchmarking	evaluación comparativa (hacer una)[Verb]
benchmarks	evaluaciones comparativas
best	el mejor
better	mejor
between	entre
bicycle	la bicicleta
bien	good[Adjective]
biff	biffar[Verb]
big	grande
biochemical	bioquimico[Noun]
bird	pa/jaro[Noun]
birth	el nacimiento
birthday	cumplean~os[Noun]
bit	el bit (computadora)
bitch	perra[Noun]
bitches	putas, putos[Noun]
bite	bocado, picada[Noun]
bite	morder
biting	mordaz, penetrante[Adjective]
bits	los bits (computadora)
bitter	amargo
bitterness	amargura, rencor[Noun]
black	negro
blackboard	la pizarra
bladder	vejiga[Noun]
bladders	las vejigas[Noun]
blanket	la manta
bleed	sangrar
blind	ciego
blinds	persianas
blizzard	la ventisca
block	bloque
blocked	bloqueado
blond	rubio
blonde	rubio
blood	la sangre
blouse	la blusa
blue	azul
blueprint	anteproyecto[Noun]
boat	el barco
body	el cuerpo
boil	hervir
bone	el hueso
bones	los huesos
book	el libro
bookcase	el estante de libros[Noun]
books	los libros
bookstore	la tienda de libros[Noun]
boot	bota[Noun]
boots	botas[Noun]
bored	aburrido
boring	aborrido[Adjective]
boss	el jefe
both	ambos/as[Adjective]
bother	molestar
bottle	la botella
bottles	las botellas
bottom	el fondo
box	la caja
boxes	las cajas
boy	chico, chamaco, nino
boy	el muchacho
boycott	boicoteo; boicotear(verb)
boycotted	boicoteado
boyfriend	amigo
boyfriend	novio
boyhood	muchachez,juventud
boyish	muchachil, juvenil
boys	los muchachos
bra	sosten
bra	sujetador[Noun]
brace	abrazadera
bracelet	el brazalete
bracelet	pulsera
bracken	helecho
bracket	abrazadera; soporte
brackish	salobre; semisalado
brad	puntilla; clavito
brae	ladera de monte; pendiente
brag	bravata; jactarse & fanfarronear(v)
braggart	fanfarron; jactancioso
bragging	fanfarronadas
brahma	brahaman; bracman
braid	trenza; galon(mil)
brain	cerebro
brainchild	parto del ingenio; invento
brainless	estupido; insensato
brainpower	fuerza intelectual
brains	inteligencia; cabeza
brainstorm	idea genial
brainteaser	rompecabezas
brainwash	lavar el cerebro a; 
brainwashing	lavado de cerebro
brainy	muy inteligente; talentudo
braise	brasear
brake	freno
brakeless	sin freno[Adjective]
branch	la rama
branches	ramas[Noun]
branchia	branquia[Noun]
branchial	branquial[Noun]
branchiate	branquiado[Adjective]
branchless	sin ramas
brand	marca[Noun]
brandy	brandy[Noun]
brass	metal[Noun]
brasserie	panaderia[Noun]
bratwurst	salchicha[Noun]
bravery	el valor
bread	el pan
break	romper
breakfast	el desayuno
breathe	respirar
breeze	la brisa
brick	el ladrillo
bridge	el puente
bring	traer
broad	ancho[Adjective]
broadband	ancho de banda
broken	roto
broom	la escoba
brother	el hermano
brown	pardo
brunette	moreno
brush	el cepillo
bucket	el cubo
bug	error[Adjective]
building	el edificio
bull	el toro
burn	la quemadura
burn	quemar
bus	la guagua (Canary Islands)[Noun]
bus	autobus
bush	el arbusto
business	el negocio
busy	ocupado
but	pero
butter	la mantequilla
butter	mantequilla
butterfish	mariposa
buy	comprar
buyer	comprador
byte	el byte[Noun]
bytes	los bytes[Noun]
c	c
cab	POLICIA[Noun]
cab	taxi
cab	taxi, radiotaxi
cabal	concilia/bulo[Noun]
cabala	ca/bala
cabalism	cabalismo[Noun]
cabalist	cabalista[Noun]
cabalistic	cbali/stico(a)
caballero	gent;emen
caballero	gentleman
caballero	knight[Noun]
cabana	cabanã
cabanas	caban~as
cabaret	cabaret
cabbage	col
cabbage	la col
cabbaged	repollado[Adjective]
cabbages	coles
cabbaging	repollando[Verb]
cabbala	ca/bala[Noun]
cabbie	chofer[Noun]
cabbie	el taxista
cabbies	choferes[Noun]
cabbies	los taxistas
cabby	chofer[Noun]
cabby	el taxista[Noun]
cabdriver	conductor de taxi
cabdriver	taxista
cabin	cabina
cabin	litera
cabinet	armario
cabinet	gabinete
cabinetmaker	ebanista
cabinetmakers	ebanistas
cabinetmakers	ebanister/ia
cabinetmaking	ebanister/ia
cabinets	armarios
cabinets	gabinetes
cabinetwork	ebanisteri/a[Noun]
cabins	cabinas
cable	cable
cabled	cableado, telegrafiado[Noun]
cablegram	cablegrama[Noun]
cablegrams	cablegramas[Noun]
cables	cables
cablet	estacha[Noun]
cableway	cablecarril[Noun]
cabling	cableado, cableando, telegrafiando
cabman	taxista[Noun]
caboodle	montón[Noun]
caboose	fogón; cocina[Noun]
cabotage	cabotaje[Noun]
cabriole	cabriola[Noun]
cabriolet	cabriolet[Noun]
cabs	taxis
cabstand	parada de taxis[Noun]
cacao	cacao
cacciatore	caciatore
cacciatore	hunter
cachalot	cachalote[Noun]
cacophonous	cacofo/nico[Adjective]
cacophonously	cacofo/nicamente[Adverb]
cacophony	cacofoni/a[Noun]
cacti	cactus
cactus	el cacto
cactuses	cactos[Noun]
cacuminal	cacuminal[Adjective]
cadastral	catastral[Noun]
cadastre	catastro[Noun]
cadaver	cada/ver
cadaveric	cadavérico
cadaverine	cadaverina[Noun]
caddy	estuche[Noun]
cadence	cadencia ( musical)
cadences	cadencias[Noun]
cadency	cadencia[Noun]
cadenza	cadencia[Noun]
cadet	cadete
cadge	sablear, gorronear[Verb]
cadmium	cadmio
cadre	cuadro[Noun]
caducean	caduco
caduceus	caduceo[Noun]
caducity	caducidad
caducous	caduco[Adjective]
cafe	cafe/
cafes	cafe/s
cafeteria	cafeteri/a
cafeterias	cafeteri/as
caffeine	cafei/na
caftan	cafta/n[Noun]
cage	jaula
cage	la jaula
caged	enjaulado
cages	jaulas
cahier	cuaderno[Noun]
caiman	caima/n
cake	el pastel
cake	pastel
cake	tarta
cake	torta
cakes	pasteles
cakes	tarta
cakes	tortas
calabash	calabaza[Noun]
calaboose	calabozo[Noun]
calamine	calamina[Noun]
calamint	ajedrea[Noun]
calamite	Calamites[Noun]
calamities	calamidades
calamitous	calamitoso
calamitously	calamitosamente[Adverb]
calamity	calamidad
calamus	acoro, pluma[Noun]
calash	calesa[Noun]
calcaneal	calcan~al
calcaneum	calca/neo[Noun]
calcaneus	calca/neo[Noun]
calcareous	calca/reo
calcic	ca/lcico
calcific	calcificar
calcification	calcificacio/n
calcified	calcificado
calcifuge	calci/fugo[Adjective]
calcifugous	calci/fugo
calcify	calcificar
calcimine	encalar[Verb]
calcination	calcinacio/n
calcine	calcinar
calcined	calcinado
calcining	calcinando, calcinante[Verb]
calcite	calcita[Noun]
calcitic	calci/tico[Adjective]
calcium	calcio
calculability	calculabilidad[Noun]
calculable	calculable[Adjective]
calculably	calculablemente[Adverb]
calculate	calcular
calculated	calculado
calculatedly	calculadamente[Adverb]
